episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
37,MI,MI,532.8508,615.0,0.0,0.0,190.0,0.0,-5.0,90.0,0.0,1422.8508,6.3,6,0.8125
37,CSK,CSK,2430.1161,285.0,0.0,0.0,160.0,-10.0,-5.0,105.0,0.0,2965.1161,70.6,5,0.625
37,RCB,RCB,491.3065,648.0,0.0,0.0,200.0,0.0,-5.0,165.0,0.0,1499.3065,0.73,3,0.5625
37,KKR,KKR,1277.5573,522.0,0.0,0.0,190.0,0.0,15.0,55.0,0.0,2059.5573,44.1,7,1.0
37,DC,DC,2279.9542,582.0,0.0,0.0,230.0,0.0,15.0,315.0,0.0,3421.9542,49.5,2,1.0
37,RR,RR,1505.3786,162.0,0.0,0.0,120.0,-10.0,-5.0,135.0,0.0,1907.3786,71.7,4,0.625
37,PBKS,PBKS,1715.6943,549.0,0.0,0.0,140.0,0.0,-5.0,215.0,0.0,2614.6943,55.5,1,0.5
37,SRH,SRH,237.8333,21.0,0.0,0.0,10.0,0.0,-5.0,40.0,0.0,303.8333,59.7,8,0.75
36,MI,MI,532.8508,615.0,0.0,0.0,190.0,0.0,-5.0,90.0,0.0,1422.8508,6.3,6,0.8125
36,CSK,CSK,2430.1161,285.0,0.0,0.0,160.0,-10.0,-5.0,105.0,0.0,2965.1161,70.6,5,0.625
36,RCB,RCB,491.3065,648.0,0.0,0.0,200.0,0.0,-5.0,165.0,0.0,1499.3065,0.73,3,0.5625
36,KKR,KKR,1277.5573,522.0,0.0,0.0,190.0,0.0,15.0,55.0,0.0,2059.5573,44.1,7,1.0
36,DC,DC,2279.9542,582.0,0.0,0.0,230.0,0.0,15.0,315.0,0.0,3421.9542,49.5,2,1.0
36,RR,RR,1505.3786,162.0,0.0,0.0,120.0,-10.0,-5.0,135.0,0.0,1907.3786,71.7,4,0.625
36,PBKS,PBKS,1715.6943,549.0,0.0,0.0,140.0,0.0,-5.0,215.0,0.0,2614.6943,55.5,1,0.5
36,SRH,SRH,237.8333,21.0,0.0,0.0,10.0,0.0,-5.0,40.0,0.0,303.8333,59.7,8,0.75
27,MI,MI,561.8183,639.0,0.0,0.0,200.0,0.0,-5.0,105.0,0.0,1500.8183,0.09,5,0.6875
27,CSK,CSK,1462.7698,99.0,0.0,0.0,90.0,-10.0,-5.0,330.0,0.0,1966.7698,81.2,1,0.6875
27,RCB,RCB,497.4352,642.0,0.0,0.0,190.0,0.0,-5.0,25.0,0.0,1349.4352,1.09,8,0.75
27,KKR,KKR,1682.2688,627.0,0.0,0.0,220.0,0.0,15.0,215.0,0.0,2759.2688,45.1,2,0.75
27,DC,DC,1654.0421,399.0,0.0,0.0,170.0,0.0,15.0,150.0,0.0,2388.0421,55.8,3,1.0
27,RR,RR,1439.4746,162.0,0.0,0.0,120.0,-10.0,-5.0,150.0,0.0,1856.4746,73.7,4,0.6875
27,PBKS,PBKS,1576.2871,471.0,0.0,0.0,190.0,0.0,-5.0,55.0,0.0,2287.2871,47.5,7,0.875
27,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,90.0,0.0,85.0,60.1,6,0.875
26,MI,MI,561.8183,639.0,0.0,0.0,200.0,0.0,-5.0,105.0,0.0,1500.8183,0.09,5,0.6875
26,CSK,CSK,1462.7698,99.0,0.0,0.0,90.0,-10.0,-5.0,330.0,0.0,1966.7698,81.2,1,0.6875
26,RCB,RCB,497.4352,642.0,0.0,0.0,190.0,0.0,-5.0,25.0,0.0,1349.4352,1.09,8,0.75
26,KKR,KKR,1682.2688,627.0,0.0,0.0,220.0,0.0,15.0,215.0,0.0,2759.2688,45.1,2,0.75
26,DC,DC,1654.0421,399.0,0.0,0.0,170.0,0.0,15.0,150.0,0.0,2388.0421,55.8,3,1.0
26,RR,RR,1439.4746,162.0,0.0,0.0,120.0,-10.0,-5.0,150.0,0.0,1856.4746,73.7,4,0.6875
26,PBKS,PBKS,1576.2871,471.0,0.0,0.0,190.0,0.0,-5.0,55.0,0.0,2287.2871,47.5,7,0.875
26,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,90.0,0.0,85.0,60.1,6,0.875
38,MI,MI,455.8738,546.0,0.0,0.0,200.0,0.0,-5.0,55.0,0.0,1251.8738,0.48,8,0.75
38,CSK,CSK,1258.3379,174.0,0.0,0.0,120.0,-10.0,-5.0,200.0,0.0,1737.3379,67.8,2,0.75
38,RCB,RCB,542.4106,756.0,0.0,0.0,190.0,0.0,-5.0,235.0,0.0,1718.4106,0.49,4,0.625
38,KKR,KKR,982.6199,435.0,0.0,0.0,140.0,0.0,-5.0,215.0,0.0,1767.6199,41.1,1,0.5
38,DC,DC,2011.6683,516.0,0.0,0.0,190.0,0.0,15.0,70.0,0.0,2802.6683,56.8,7,1.0
38,RR,RR,1322.2424,120.0,0.0,0.0,80.0,-10.0,-5.0,150.0,0.0,1657.2424,75.5,3,0.625
38,PBKS,PBKS,1088.1081,450.0,0.0,0.0,180.0,0.0,15.0,105.0,0.0,1838.1081,36.7,5,1.0
38,SRH,SRH,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,90.0,0.0,85.0,63.3,6,0.875
37,MI,MI,455.8738,546.0,0.0,0.0,200.0,0.0,-5.0,55.0,0.0,1251.8738,0.48,8,0.75
37,CSK,CSK,1258.3379,174.0,0.0,0.0,120.0,-10.0,-5.0,200.0,0.0,1737.3379,67.8,2,0.75
37,RCB,RCB,542.4106,756.0,0.0,0.0,190.0,0.0,-5.0,235.0,0.0,1718.4106,0.49,4,0.625
37,KKR,KKR,982.6199,435.0,0.0,0.0,140.0,0.0,-5.0,215.0,0.0,1767.6199,41.1,1,0.5
